filename	pic_num	training_loop.thisRepN	training_loop.thisTrialN	training_loop.thisN	training_loop.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	intro_text.started	intro_click.started	intro_click.x	intro_click.y	intro_click.leftButton	intro_click.midButton	intro_click.rightButton	intro_click.time	show_images.started	image0_name	image0_position	image1_name	image1_position	image2_name	image2_position	image3_name	image3_position	image4_name	image4_position	image5_name	image5_position	image6_name	image6_position	image7_name	image7_position	image8_name	image8_position	image9_name	image9_position	image10_name	image10_position	image11_name	image11_position	image12_name	image12_position	image0.started	image1.started	image2.started	image3.started	image4.started	image5.started	image6.started	image7.started	image8.started	image9.started	image10.started	image11.started	image12.started	show_images.stopped	blank_screen.started	blank_text.started	blank_text.stopped	blank_screen.stopped	show_images_changed.started	correct_image	correct_image_name	correct_image_pos	image0_2.started	image1_2.started	image2_2.started	image3_2.started	image4_2.started	image5_2.started	image6_2.started	image7_2.started	image8_2.started	image9_2.started	image10_2.started	image11_2.started	image12_2.started	mouse.started	show_images_changed.stopped	is_correct	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	mouse.clicked_image	feedback.started	feedback_text.started	feedback.stopped	feedback_text.stopped	begin_real_trial.started	text.started	begin_real_trial.stopped	so_long_and_thanks_for_all_the_fish.started	goodbye_text.started	goodbye_click.started	so_long_and_thanks_for_all_the_fish.stopped	goodbye_click.x	goodbye_click.y	goodbye_click.leftButton	goodbye_click.midButton	goodbye_click.rightButton	goodbye_click.time	id	age	date	expName	psychopyVersion	frameRate	expStart	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	9					0	1	1	1	3	0	3	0	224.1712732000742										223.50880890002009	esernyo.png	[0.75, 0.25]	alma.png	[0.25, 0.25]	letra.png	[0.75, 0.75]	kad.png	[-0.25, 0.75]	bogre.png	[0.25, 0.75]	vodor.png	[-0.25, -0.25]	ceruza.png	[-0.75, 0.25]	fotel.png	[-0.25, -0.75]	szemuveg.png	[-0.75, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	225.01572610007133	235.00128419999965	238.74378370004706	238.74846950010397	239.92552010004874	239.2466040001018	235.50447050004732	image8_2	laptop.png	[-0.75, -0.75]	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	237.01066010002978	0.009528299910016358	238.74269030010328	True	[-0.6770833333333334]	[-0.7444444444444445]	[1]	[0]	[0]	[1.7311285000760108]	['image8_2']	['laptop.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	9					0	1	1	1	4	0	4	0	239.92552010004874										239.24710939999204	laptop.png	[0.75, -0.25]	auto.png	[-0.75, -0.75]	ceruza.png	[0.25, 0.75]	alma.png	[-0.25, 0.25]	esernyo.png	[0.75, 0.75]	kad.png	[0.25, 0.25]	letra.png	[-0.25, 0.75]	zokni.png	[0.25, -0.75]	vodor.png	[0.75, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	240.7579803999979	250.74102800001856	255.24583550007083	255.2506621000357	256.75614050007425	255.74891590001062	251.24413310003	image8_2	szemuveg.png	[0.75, -0.75]	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	252.75153150002006	0.010701799998059869	255.24496100004762	False	[-0.28958333333333336]	[0.7240740740740741]	[1]	[0]	[0]	[2.4926198000321165]	['image6_2']	['letra.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	9					0	1	1	1																																																																																																									a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2	0	0	0	0	256.75614050007425										255.75003930006642	kad.png	[0.25, -0.75]	ceruza.png	[0.25, 0.75]	hajszarito.png	[-0.25, 0.75]	esernyo.png	[-0.25, -0.25]	vodor.png	[-0.25, 0.25]	fogas.png	[0.75, -0.75]	letra.png	[0.25, 0.25]	szemuveg.png	[-0.75, -0.25]	bogre.png	[0.75, -0.25]	auto.png	[0.75, 0.75]	ora.png	[0.75, 0.25]	ollo.png	[-0.75, 0.75]	laptop.png	[-0.75, 0.25]	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	257.2551279000472	267.23978070006706	271.02052280004136	271.02532060001977	272.4739789000014	271.52334270009305	267.7441023000283	image12_2	fotel.png	[-0.75, 0.25]	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	269.24839520000387	0.008829200058244169	271.0191770000383	True	[-0.7614583333333333]	[0.19444444444444445]	[1]	[0]	[0]	[1.769943300052546]	['image12_2']	['fotel.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2	1	0	1	0	272.4739789000014										271.52372070006095	kad.png	[-0.75, -0.75]	ceruza.png	[0.75, -0.25]	kamera.png	[0.25, 0.25]	papucs.png	[0.25, 0.75]	vodor.png	[0.75, 0.75]	ollo.png	[-0.25, -0.25]	szemuveg.png	[-0.25, 0.25]	bogre.png	[-0.75, -0.25]	laptop.png	[-0.25, -0.75]	fagyi.png	[0.75, -0.75]	alma.png	[-0.75, 0.75]	fotel.png	[-0.25, 0.75]	macko.png	[-0.75, 0.25]	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	273.03050290001556	283.0158328000689	288.2477356001036	288.25232950004283	289.7030317001045	288.7482185000554	283.51864530006424	image12_2	hajszarito.png	[-0.75, 0.25]	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	285.0249601000687	0.009360999916680157	288.24688770005014	True	[-0.7614583333333333]	[0.19444444444444445]	[1]	[0]	[0]	[3.2211300000781193]	['image12_2']	['hajszarito.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2	2	0	2	0	289.7030317001045										288.74877510010265	laptop.png	[-0.25, 0.25]	kamera.png	[-0.75, 0.75]	letra.png	[-0.75, -0.25]	szemuveg.png	[0.25, 0.75]	alma.png	[-0.25, -0.75]	bogre.png	[0.25, -0.25]	zokni.png	[0.75, 0.25]	macko.png	[-0.25, 0.75]	fogas.png	[0.25, -0.75]	ceruza.png	[0.75, -0.25]	papucs.png	[0.75, 0.75]	ora.png	[0.25, 0.25]	ollo.png	[-0.75, 0.25]	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	290.25678090006113	300.2411948000081	303.53809060005005	303.54273810004815	304.99148860003334	304.04037030006293	300.7439021000173	image12_2	hajszarito.png	[-0.75, 0.25]	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	302.2522343000164	0.011238900013267994	303.53728960000444	True	[-0.7614583333333333]	[0.19444444444444445]	[1]	[0]	[0]	[1.2842259999597445]	['image12_2']	['hajszarito.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2	3	0	3	0	304.99148860003334										304.040829100064	hajszarito.png	[0.25, 0.75]	auto.png	[0.75, -0.75]	ollo.png	[-0.25, 0.75]	kamera.png	[-0.75, 0.25]	macko.png	[0.25, 0.25]	vodor.png	[0.75, 0.25]	bogre.png	[-0.75, -0.75]	esernyo.png	[-0.25, 0.25]	papucs.png	[-0.25, -0.25]	szemuveg.png	[-0.75, -0.25]	fotel.png	[0.75, -0.25]	fagyi.png	[0.25, -0.25]	fogas.png	[0.25, -0.75]	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	305.5510305000935	315.53205660008825	321.01643700001296	321.02143459999934	322.4708390000742	321.5192197000142	316.0353702000575	image12_2	letra.png	[0.25, -0.75]	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	317.5428968000924	0.010974999982863665	321.0152310000267	False	[0.70625]	[0.11481481481481481]	[1]	[0]	[0]	[3.471425600000657]	['image5_2']	['vodor.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2	4	0	4	0	322.4708390000742										321.5196886000922	fotel.png	[-0.75, -0.75]	papucs.png	[0.25, 0.25]	laptop.png	[0.75, 0.75]	zokni.png	[-0.25, -0.75]	alma.png	[0.75, -0.75]	kad.png	[0.75, -0.25]	fagyi.png	[0.25, -0.75]	fogas.png	[0.25, -0.25]	esernyo.png	[0.75, 0.25]	bogre.png	[-0.75, -0.25]	auto.png	[-0.75, 0.75]	kamera.png	[-0.75, 0.25]	vodor.png	[0.25, 0.75]	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	323.03030370001215	333.01267050008755	340.31947119999677	340.3244780000532	340.8278970000101	340.8225089000771	333.5155784999952	image12_2	ollo.png	[0.25, 0.75]	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	335.0256691999966	0.013248900067992508	340.31796780007426	False	[0.29791666666666666]	[0.25925925925925924]	[1]	[0]	[0]	[5.291084100026637]	['image1_2']	['papucs.png']																		a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv	13					0	2	2	2																																																																																																									a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./a_23_visual_memory_2024-05-05_12h03.19.009.csv																																																																																																								340.822641100036	342.31886790005956	-0.0004376999568194151	343.52901140006725	[0.29791666666666666]	[0.25925925925925924]	[1]	[0]	[0]	[1.2094171000644565]	a_23	23	2024-05-05_12h03.19.009	visual_memory	2023.02.03	165.30838287521206	2024-05-05 12h03.44.598913 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv																0.04439519997686148	0.03557780000846833	[-0.027083333333333334]	[-0.25925925925925924]	[1]	[0]	[0]	[29.01866760000121]																																																																																											zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv														90.86753699998371										90.47828919999301	papucs.png	[-0.75, -0.75]	szemuveg.png	[-0.75, -0.25]	hajszarito.png	[-0.75, 0.25]	vodor.png	[-0.25, 0.75]	kad.png	[-0.25, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	90.86753699998371	100.47052740002982	100.47055369999725	100.47594549995847	101.36641979997512	100.97282270004507	100.97284179995768	image4_2	fotel.png	[-0.25, -0.75]	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	102.4784886999987	0.008150500012561679	103.80235899996478	True	[-0.12708333333333333]	[-0.6592592592592592]	[1]	[0]	[0]	[1.323035700013861]	['image4_2']	['fotel.png']	103.80319280002732	103.80804379994515	105.80022660002578	105.80711219995283	105.80027460004203	105.80711219995283	109.16373070003465											zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0	0	0	0	0	109.57201989996247										109.17537059995811	szemuveg.png	[0.25, 0.75]	esernyo.png	[-0.75, -0.75]	auto.png	[-0.75, 0.75]	hajszarito.png	[-0.25, 0.75]	kamera.png	[0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	109.57201989996247	119.15933489997406	122.66102530003991	122.66587519994937	123.55136579996906	123.1587436000118	119.66123389999848	image4_2	fotel.png	[0.25, -0.25]	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	121.17271399998572	0.013585499953478575	122.65965919999871	True	[0.15]	[-0.2462962962962963]	[1]	[0]	[0]	[1.4861040000105277]	['image4_2']	['fotel.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0	1	0	1	0	123.55136579996906										123.159282800043	ceruza.png	[-0.75, -0.75]	alma.png	[-0.75, 0.25]	szemuveg.png	[0.25, -0.25]	papucs.png	[0.25, 0.75]	macko.png	[-0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	124.66967380000278	134.65755040000658	138.72983139997814	138.73543969995808	139.6247518999735	139.22875809995458	135.15937759994995	image4_2	fotel.png	[-0.25, -0.25]	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	136.6687281000195	0.011361899902112782	138.7289779999992	True	[-0.0875]	[-0.29814814814814816]	[1]	[0]	[0]	[2.0593180999858305]	['image4_2']	['fotel.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0	2	0	2	0	139.6247518999735										139.2292441999307	kad.png	[0.25, -0.25]	zokni.png	[-0.25, 0.75]	szemuveg.png	[-0.25, 0.25]	auto.png	[0.75, -0.75]	hajszarito.png	[0.75, 0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	140.74067279999144	150.72870510001667	154.94219880003948	154.95422129996587	155.83812149998266	155.44740980002098	151.22641460003797	image4_2	fogas.png	[0.75, 0.75]	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	152.74206580000464	0.013610300025902689	154.94100849993993	True	[0.640625]	[0.6814814814814815]	[1]	[0]	[0]	[2.1978291999548674]	['image4_2']	['fogas.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0	3	0	3	0	155.83812149998266										155.44801649998408	ceruza.png	[0.25, -0.25]	fotel.png	[0.25, -0.75]	bogre.png	[-0.75, -0.75]	letra.png	[0.25, 0.25]	zokni.png	[-0.25, -0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	156.95091310003772	166.94116879999638	170.56550389993936	170.57053030002862	171.44533869996667	171.06530489993747	167.44209439994302	image4_2	hajszarito.png	[-0.25, -0.25]	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	168.9534387999447	0.012446700013242662	170.5644551999867	True	[-0.246875]	[-0.20185185185185187]	[1]	[0]	[0]	[1.610063000000082]	['image4_2']	['hajszarito.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0	4	0	4	0	171.44533869996667										171.06589179998264	szemuveg.png	[-0.25, -0.75]	kamera.png	[0.25, 0.75]	macko.png	[0.75, 0.75]	ora.png	[0.75, -0.75]	bogre.png	[-0.25, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	172.57327789999545	182.56380340002943	185.77707680000458	185.7817413000157	186.96857289993204	186.2776149000274	183.06546509999316	image4_2	kad.png	[-0.25, 0.25]	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	184.57364329998381	0.01006310002412647	185.7761698999675	True	[-0.225]	[0.1962962962962963]	[1]	[0]	[0]	[1.2014766000211239]	['image4_2']	['kad.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	5					0	0	0	0																																																																																																									zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	9					0	1	1	1	0	0	0	0	186.96857289993204										186.27882739994675	szemuveg.png	[-0.75, -0.25]	fagyi.png	[0.25, -0.75]	fogas.png	[0.25, -0.25]	fotel.png	[-0.75, 0.75]	zokni.png	[-0.75, 0.25]	ollo.png	[-0.25, 0.25]	esernyo.png	[0.75, -0.75]	hajszarito.png	[0.75, -0.25]	auto.png	[-0.25, 0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	187.78860810003243	197.77390749996994	206.20750929997303	206.2135932999663	207.38737170002423	206.70629240002017	198.27519329998177	image8_2	ora.png	[-0.25, 0.75]	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	199.78426039998885	0.010550100007094443	206.20589710003696	True	[-0.29270833333333335]	[0.5814814814814815]	[1]	[0]	[0]	[6.420773199992254]	['image8_2']	['ora.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	9					0	1	1	1	1	0	1	0	207.38737170002423										206.70682229998056	hajszarito.png	[-0.75, -0.75]	ollo.png	[-0.75, 0.25]	alma.png	[-0.25, 0.25]	fotel.png	[0.25, 0.75]	esernyo.png	[0.25, -0.75]	fagyi.png	[0.75, 0.75]	vodor.png	[-0.75, -0.25]	kamera.png	[0.25, -0.25]	zokni.png	[0.75, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	208.21872549992986	218.2007103000069	222.38636769994628	222.39111640001647	223.5658500000136	222.88821150001604	218.70310149993747	image8_2	laptop.png	[0.75, -0.75]	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	220.21057999995537	0.010051700053736567	222.38533670001198	True	[0.6979166666666666]	[-0.6444444444444445]	[1]	[0]	[0]	[2.1738462999928743]	['image8_2']	['laptop.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	9					0	1	1	1	2	0	2	0	223.5658500000136										222.8886274000397	bogre.png	[-0.25, 0.75]	papucs.png	[0.75, 0.25]	fagyi.png	[0.25, -0.75]	fogas.png	[0.25, -0.25]	alma.png	[-0.25, 0.25]	auto.png	[-0.75, 0.75]	ceruza.png	[-0.75, -0.25]	ollo.png	[0.25, 0.25]	fotel.png	[0.75, -0.75]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	224.39702579996083	234.37851539999247	238.89095739996992	238.89567719993647	240.0623907999834	239.391008400009	234.87759309995454	image8_2	laptop.png	[0.75, -0.75]	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	236.3891201999504	0.010798399918712676	238.89005339995492	True	[0.7489583333333333]	[-0.6796296296296296]	[1]	[0]	[0]	[2.4999231999972835]	['image8_2']	['laptop.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	9					0	1	1	1	3	0	3	0	240.0623907999834										239.39152800000738	macko.png	[0.75, -0.25]	papucs.png	[0.75, 0.75]	alma.png	[-0.75, -0.75]	ora.png	[-0.75, 0.25]	ollo.png	[0.25, 0.75]	szemuveg.png	[-0.25, 0.75]	letra.png	[-0.25, -0.25]	fogas.png	[0.25, 0.25]	esernyo.png	[0.75, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	240.90097930002958	250.88716769998427	261.03833589993883	261.0434084000299	262.23195399995893	261.53653299994767	251.38996830000542	image8_2	auto.png	[0.75, 0.25]	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	252.89496990002226	0.007974399952217937	261.03744380001444	True	[0.6395833333333333]	[0.13518518518518519]	[1]	[0]	[0]	[8.14151149999816]	['image8_2']	['auto.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
./zs23_visual_memory_2024-05-05_13h22.03.901.csv	9					0	1	1	1	4	0	4	0	262.23195399995893										261.5369470999576	macko.png	[-0.75, -0.75]	papucs.png	[0.25, -0.25]	fotel.png	[-0.25, 0.25]	ceruza.png	[-0.75, 0.75]	szemuveg.png	[0.75, 0.75]	alma.png	[0.75, -0.75]	ora.png	[-0.25, -0.25]	vodor.png	[-0.25, 0.75]	fogas.png	[0.75, 0.25]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	blank.png	[2, 2]	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	263.0460178999929	273.03392930002883	276.49175059993286	276.4968215000117	278.00306679995265	276.9944342999952	273.5383090999676	image8_2	zokni.png	[0.75, 0.25]	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	275.0441624999512	0.010433100047521293	276.49079830001574	True	[0.6114583333333333]	[0.2037037037037037]	[1]	[0]	[0]	[1.4456929001025856]	['image8_2']	['zokni.png']																		zs23	23	2024-05-05_13h22.03.901	visual_memory	2023.02.03	157.67498790973312	2024-05-05 13h22.27.445993 +0200	
